(فا. مِن أَشْكَلَ)	مُشْكِلٌ-مُشْكِلٌ، ةٌ 	
(فا. من أَشْمَسَ)	مُشْمِسٌ-مُشْمِسٌ، ة 	
(فَا. مِن أَصَابَ)	مُصِيبٌ-مُصِيبٌ، ةٌ 	
(فَا. مِن أَصْدَرَ)	مُصْدِرٌ-مُصْدِرٌ، ةٌ 	
(فَا. مِن أَصَرَّ)	مُصِرٌّ-مُصِرٌّ، ةٌ 	
(فَا. مِن أَصْغَى)	مُصْغِي-مُصْغِي، مُصْغٍ، ةٌ 	
(فَا. مِن أَصْلَحَ)	مُصْلِحٌ-مُصْلِحٌ، ةٌ 	
(فَا. مِن أَضَاءَ)	مُضِيءٌ-مُضِيءٌ	
(فَا. مِن أَضْجَرَ)	مُضْجِرٌ-مُضْجِرٌ، ة 	
(فَا. مِن أَضْحَكَ)	مُضْحِكٌ-مُضْحِكٌ، ةٌ 	
(فَا. مِن أَضْرَبَ)	مُضْرِبٌ-مُضْرِبٌ، ةٌ 	
(فَا. مِن أَضَلَّ)	مُضِلٌّ-مُضِلٌّ، ةٌ 	
(فَا. مِن أَضْنَى)	مُضْنِي-مُضْنِي، مُضْنٍ، ةٌ 	
(فَا. مِن أَطْبَقَ)	مُطْبِقٌ-مُطْبِقٌ، ة 	
(فَا. مِن أَطْرَبَ)	مُطْرِبٌ-مُطْرِبٌ، ةٌ 	
(فَا. مِن أَطْرَفَ)	مُطْرِفٌ-مُطْرِفٌ، ة 	
(فَا. مِن أَطْرَقَ)	مُطْرِقٌ-مُطْرِقٌ، ةٌ 	
(فَا. مِن أَطْفَأَ)	مُطْفِئٌ-مُطْفِئٌ، ةٌ 	
(فَا. مِن أَطَلَّ)	مُطِلٌّ-مُطِلٌّ، ةٌ 	
(فَا. مِن أَطْلَقَ)	مُطْلِقٌ-مُطْلِقٌ، ةٌ 	
(فَا. مِن أَطْنَبَ)	مُطْنِبٌ-مُطْنِبٌ 	
(فَا. مِن أَظَلَّ)	مُظِلٌّ-مُظِلٌّ، ة 	
(فَا. مِن أَظْلَمَ)	مُظْلِمٌ-مُظْلِمٌ، ةٌ 	
(فَا. مِن أَعَادَ)	مُعِيدٌ-مُعِيدٌ، ةٌ 	
(فَا. مِن أَعَاقَ)	مُعِيقٌ-مُعِيقٌ، ةٌ 	
(فَا. مِن أَعَالَ)	مُعِيلٌ-مُعِيلٌ، ة 	
(فَا. مِن أَعَانَ)	مُعِينٌ-مُعِينٌ، ةٌ 	
(فَا. مِن أَعْتَمَ)	مُعْتِمٌ-مُعْتِمٌ، ةٌ 	
(فَا. مِن أَعْجَبَ)	مُعْجِبٌ-مُعْجِبٌ، ةٌ 	
(فَا. مِن أَعْجَزَ)	مُعْجِزٌ-مُعْجِزٌ، ةٌ 	
(فَا. مِن أَعَدَّ)	مُعِدٌّ-مُعِدٌّ، ةٌ 	
(فَا. مِن أَعْدَمَ)	مُعْدِمٌ-مُعْدِمٌ، ةٌ 	
(فَا. مِن أَعْدَى)	مُعْدِي-مُعْدِي، مُعْدٍ، ةٌ 	
(فَا. مِن أَعْرَبَ)	مُعْرِبٌ-مُعْرِبٌ، ةٌ 	
(فَا. مِن أَعَزَّ)	مُعِزٌّ-مُعِزٌّ، ة 	
(فَا. مِن أَعْسَرَ)	مُعْسِرٌ-مُعْسِرٌ، ةٌ 	
